"DTI Voltage","time"
495,1786826042084
495,1786826042110
496,1786826042136
494,1786826042162
493,1786826042188
493,1786826042215
493,1786826042241
493,1786826042268
492,1786826042294
492,1786826042321
491,1786826042347
491,1786826042373
490,1786826042399
491,1786826042426
491,1786826042452
491,1786826042478
490,1786826042504
491,1786826042531
490,1786826042557
490,1786826042583
490,1786826042609
491,1786826042636
491,1786826042662
491,1786826042688
490,1786826042714
491,1786826042740
490,1786826042766
491,1786826042793
490,1786826042819
491,1786826042845
490,1786826042871
489,1786826042898
489,1786826042924
489,1786826042950
488,1786826042976
489,1786826043002
489,1786826043028
489,1786826043054
489,1786826043080
489,1786826043107
488,1786826043133
488,1786826043159
489,1786826043185
489,1786826043211
487,1786826043237
488,1786826043263
488,1786826043289
488,1786826043316
487,1786826043342
486,1786826043368
487,1786826043394
487,1786826043420
488,1786826043446
488,1786826043473
487,1786826043499
487,1786826043525
487,1786826043551
489,1786826043577
487,1786826043603
486,1786826043629
487,1786826043655
487,1786826043681
487,1786826043708
486,1786826043734
487,1786826043760
487,1786826043786
487,1786826043812
487,1786826043838
487,1786826043865
487,1786826043891
486,1786826043917
486,1786826043943
487,1786826043969
487,1786826043995
484,1786826044021
485,1786826044048
486,1786826044074
485,1786826044100
486,1786826044126
487,1786826044152
487,1786826044178
485,1786826044204
485,1786826044230
484,1786826044256
486,1786826044282
487,1786826044308
486,1786826044334
487,1786826044360
486,1786826044386
485,1786826044412
487,1786826044438
490,1786826044464
492,1786826044491
498,1786826044517
500,1786826044543
503,1786826044569
506,1786826044595
505,1786826044621
504,1786826044647
504,1786826044673
504,1786826044699
505,1786826044725
504,1786826044751
505,1786826044777
504,1786826044803
504,1786826044829
504,1786826044855
504,1786826044881
504,1786826044907
503,1786826044933
503,1786826044960
503,1786826044986
503,1786826045012
503,1786826045038
502,1786826045064
502,1786826045091
503,1786826045117
502,1786826045143
502,1786826045168
501,1786826045195
502,1786826045221
501,1786826045247
501,1786826045273
502,1786826045299
502,1786826045325
502,1786826045351
502,1786826045377
502,1786826045404
502,1786826045430
501,1786826045456
502,1786826045482
501,1786826045508
503,1786826045534
502,1786826045560
502,1786826045586
498,1786826045612
498,1786826045638
498,1786826045664
498,1786826045690
498,1786826045716
498,1786826045742
498,1786826045769
498,1786826045795
498,1786826045821
498,1786826045847
498,1786826045872
497,1786826045898
497,1786826045925
498,1786826045951
497,1786826045977
497,1786826046003
497,1786826046030
497,1786826046056
498,1786826046082
497,1786826046108
498,1786826046134
497,1786826046160
497,1786826046186
498,1786826046213
497,1786826046239
497,1786826046265
496,1786826046291
496,1786826046317
496,1786826046343
495,1786826046370
495,1786826046396
494,1786826046423
493,1786826046449
495,1786826046475
495,1786826046501
495,1786826046527
495,1786826046554
495,1786826046580
495,1786826046606
494,1786826046632
494,1786826046658
494,1786826046684
494,1786826046710
494,1786826046737
494,1786826046763
494,1786826046790
493,1786826046816
494,1786826046842
493,1786826046868
493,1786826046894
493,1786826046920
493,1786826046947
493,1786826046973
492,1786826046999
493,1786826047025
493,1786826047051
493,1786826047077
492,1786826047104
492,1786826047130
492,1786826047156
493,1786826047182
493,1786826047209
493,1786826047236
493,1786826047262
493,1786826047288
494,1786826047314
494,1786826047341
494,1786826047367
494,1786826047393
494,1786826047419
495,1786826047445
495,1786826047471
495,1786826047498
494,1786826047524
493,1786826047550
493,1786826047576
494,1786826047602
495,1786826047628
494,1786826047654
493,1786826047681
494,1786826047707
494,1786826047733
492,1786826047759
493,1786826047785
493,1786826047811
493,1786826047837
493,1786826047864
493,1786826047890
493,1786826047916
493,1786826047942
492,1786826047968
493,1786826047994
493,1786826048020
492,1786826048046
492,1786826048072
492,1786826048099
493,1786826048125
493,1786826048151
493,1786826048178
493,1786826048204
492,1786826048230
492,1786826048256
493,1786826048282
493,1786826048308
493,1786826048334
493,1786826048360
492,1786826048386
492,1786826048412
492,1786826048438
492,1786826048465
492,1786826048491
493,1786826048517
493,1786826048544
492,1786826048570
492,1786826048596
492,1786826048622
492,1786826048648
492,1786826048674
491,1786826048700
491,1786826048726
491,1786826048753
491,1786826048779
491,1786826048805
491,1786826048831
490,1786826048858
490,1786826048884
491,1786826048910
490,1786826048936
490,1786826048963
490,1786826048989
491,1786826049015
489,1786826049041
490,1786826049067
490,1786826049093
491,1786826049119
490,1786826049145
490,1786826049171
490,1786826049197
491,1786826049223
491,1786826049249
490,1786826049275
489,1786826049301
490,1786826049328
489,1786826049354
490,1786826049380
489,1786826049407
488,1786826049433
489,1786826049460
489,1786826049486
489,1786826049512
488,1786826049538
488,1786826049564
488,1786826049590
487,1786826049616
486,1786826049642
486,1786826049669
486,1786826049695
486,1786826049721
485,1786826049747
485,1786826049773
486,1786826049799
486,1786826049825
486,1786826049852
486,1786826049878
486,1786826049904
486,1786826049930
487,1786826049956
486,1786826049983
486,1786826050009
486,1786826050035
486,1786826050061
487,1786826050087
486,1786826050113
487,1786826050139
486,1786826050166
485,1786826050192
486,1786826050218
486,1786826050244
486,1786826050270
485,1786826050296
485,1786826050322
485,1786826050348
485,1786826050374
483,1786826050401
484,1786826050427
485,1786826050453
487,1786826050479
487,1786826050505
487,1786826050531
486,1786826050557
485,1786826050584
485,1786826050610
485,1786826050636
487,1786826050662
488,1786826050688
488,1786826050714
488,1786826050740
488,1786826050767
487,1786826050792
488,1786826050819
487,1786826050845
489,1786826050871
491,1786826050897
491,1786826050924
491,1786826050950
492,1786826050976
491,1786826051003
491,1786826051029
492,1786826051055
492,1786826051082
491,1786826051108
490,1786826051134
491,1786826051161
490,1786826051187
489,1786826051213
486,1786826051239
483,1786826051265
485,1786826051291
484,1786826051317
484,1786826051344
484,1786826051370
485,1786826051396
486,1786826051422
483,1786826051448
482,1786826051474
483,1786826051501
483,1786826051527
483,1786826051553
482,1786826051580
483,1786826051606
482,1786826051632
482,1786826051658
479,1786826051685
478,1786826051711
477,1786826051737
477,1786826051763
478,1786826051790
480,1786826051816
478,1786826051842
477,1786826051868
478,1786826051895
478,1786826051921
478,1786826051947
477,1786826051973
477,1786826052000
479,1786826052026
478,1786826052052
478,1786826052078
478,1786826052104
478,1786826052130
478,1786826052156
479,1786826052182
479,1786826052208
479,1786826052235
479,1786826052261
479,1786826052287
479,1786826052313
479,1786826052339
478,1786826052365
477,1786826052392
477,1786826052418
477,1786826052444
479,1786826052470
479,1786826052496
478,1786826052522
476,1786826052548
476,1786826052575
476,1786826052601
477,1786826052627
478,1786826052653
477,1786826052679
477,1786826052705
477,1786826052731
478,1786826052757
478,1786826052783
478,1786826052809
478,1786826052835
479,1786826052861
479,1786826052888
477,1786826052914
477,1786826052940
476,1786826052966
479,1786826052992
479,1786826053018
478,1786826053045
480,1786826053071
480,1786826053097
479,1786826053124
478,1786826053150
479,1786826053176
478,1786826053202
478,1786826053228
478,1786826053254
479,1786826053280
481,1786826053306
484,1786826053332
487,1786826053358
489,1786826053385
495,1786826053411
496,1786826053438
498,1786826053464
503,1786826053489
509,1786826053515
505,1786826053541
506,1786826053568
507,1786826053594
506,1786826053620
505,1786826053646
505,1786826053672
506,1786826053698
506,1786826053724
507,1786826053750
506,1786826053776
505,1786826053802
505,1786826053828
505,1786826053854
506,1786826053881
505,1786826053907
505,1786826053933
507,1786826053959
505,1786826053986
504,1786826054012
504,1786826054039
504,1786826054064
503,1786826054090
504,1786826054116
503,1786826054143
504,1786826054169
505,1786826054195
505,1786826054221
505,1786826054247
505,1786826054273
503,1786826054300
503,1786826054325
503,1786826054351
504,1786826054377
504,1786826054404
505,1786826054430
504,1786826054456
504,1786826054482
504,1786826054508
505,1786826054534
504,1786826054560
503,1786826054586
504,1786826054612
503,1786826054638
503,1786826054664
503,1786826054690
503,1786826054717
504,1786826054743
502,1786826054769
502,1786826054795
503,1786826054821
503,1786826054848
502,1786826054873
502,1786826054900
501,1786826054926
502,1786826054952
501,1786826054978
502,1786826055004
499,1786826055030
500,1786826055056
500,1786826055082
503,1786826055108
498,1786826055134
498,1786826055160
498,1786826055187
497,1786826055213
498,1786826055239
498,1786826055265
497,1786826055292
497,1786826055318
498,1786826055344
497,1786826055370
494,1786826055396
494,1786826055422
494,1786826055448
496,1786826055474
496,1786826055500
495,1786826055526
495,1786826055552
495,1786826055578
495,1786826055604
495,1786826055631
495,1786826055657
495,1786826055684
496,1786826055710
496,1786826055736
495,1786826055763
495,1786826055789
495,1786826055815
496,1786826055841
495,1786826055867
494,1786826055893
494,1786826055919
495,1786826055946
495,1786826055972
495,1786826055998
494,1786826056025
492,1786826056051
491,1786826056077
491,1786826056103
492,1786826056129
491,1786826056155
490,1786826056181
490,1786826056208
490,1786826056234
490,1786826056260
489,1786826056286
489,1786826056312
489,1786826056338
489,1786826056364
488,1786826056390
486,1786826056416
485,1786826056442
485,1786826056469
485,1786826056495
486,1786826056521
484,1786826056547
484,1786826056573
483,1786826056599
484,1786826056625
481,1786826056651
482,1786826056677
482,1786826056703
480,1786826056729
481,1786826056755
480,1786826056782
481,1786826056808
478,1786826056834
476,1786826056860
474,1786826056886
473,1786826056912
476,1786826056938
476,1786826056964
475,1786826056991
472,1786826057017
472,1786826057043
472,1786826057069
472,1786826057096
473,1786826057122
469,1786826057148
471,1786826057174
470,1786826057200
469,1786826057226
469,1786826057252
470,1786826057278
469,1786826057304
469,1786826057330
467,1786826057357
469,1786826057383
468,1786826057409
467,1786826057435
470,1786826057461
466,1786826057487
466,1786826057513
466,1786826057539
468,1786826057565
467,1786826057592
466,1786826057618
468,1786826057644
465,1786826057670
467,1786826057696
467,1786826057722
464,1786826057748
467,1786826057774
466,1786826057800
465,1786826057826
467,1786826057852
464,1786826057878
463,1786826057905
464,1786826057931
466,1786826057957
464,1786826057983
464,1786826058010
463,1786826058036
460,1786826058062
461,1786826058088
465,1786826058114
468,1786826058141
464,1786826058167
465,1786826058193
463,1786826058220
463,1786826058246
466,1786826058272
466,1786826058299
466,1786826058325
463,1786826058351
461,1786826058377
460,1786826058403
462,1786826058429
469,1786826058455
474,1786826058482
476,1786826058508
473,1786826058534
471,1786826058560
470,1786826058586
470,1786826058613
471,1786826058639
471,1786826058666
472,1786826058692
472,1786826058718
472,1786826058744
472,1786826058770
473,1786826058796
473,1786826058823
473,1786826058849
472,1786826058875
472,1786826058901
472,1786826058927
473,1786826058953
476,1786826058980
476,1786826059006
476,1786826059031
476,1786826059058
474,1786826059085
474,1786826059111
475,1786826059137
475,1786826059163
476,1786826059189
476,1786826059215
476,1786826059241
476,1786826059267
477,1786826059293
480,1786826059319
478,1786826059345
477,1786826059371
476,1786826059397
476,1786826059424
478,1786826059450
478,1786826059476
476,1786826059502
476,1786826059528
477,1786826059554
478,1786826059580
477,1786826059606
477,1786826059632
